name,size
decimal1111.csv,20527
decimal458.csv,140454
decimal2418.csv,26736
decimal1844.csv,21264
decimal2395.csv,19939
decimal2381.csv,5457
decimal1688.csv,60453
decimal1850.csv,7171
decimal1878.csv,32797
decimal46.csv,222825
decimal52.csv,3442
decimal2544.csv,5210
decimal504.csv,27164
decimal262.csv,21355
decimal2222.csv,9820
decimal3128.csv,24561
decimal276.csv,8431
decimal2236.csv,9828
decimal2550.csv,105192
decimal510.csv,26961
decimal1059.csv,16892
decimal2578.csv,31483
decimal538.csv,65010
decimal1071.csv,14109
decimal1717.csv,11546
decimal3100.csv,13181
decimal3114.csv,4923
decimal1703.csv,14313
decimal1065.csv,12672
decimal2587.csv,135429
decimal1930.csv,1292
decimal1924.csv,8286
decimal2593.csv,5301
decimal1918.csv,19477
decimal289.csv,130032
decimal1529.csv,11855
decimal2020.csv,68949
decimal3458.csv,8666
decimal706.csv,5231
decimal2746.csv,3022
decimal712.csv,21215
decimal2752.csv,54731
decimal2034.csv,31784
decimal3302.csv,11156
decimal1515.csv,3117
decimal1273.csv,10804
decimal3464.csv,23458
decimal3470.csv,67524
decimal1267.csv,115546
decimal1501.csv,59906
decimal2008.csv,36390
decimal3316.csv,74847
decimal2785.csv,17022
decimal2791.csv,63660
decimal909.csv,31528
decimal2949.csv,28874
decimal1298.csv,53179
decimal921.csv,44075
decimal2961.csv,25179
decimal935.csv,8072
decimal2975.csv,4465
decimal2974.csv,29643
decimal934.csv,50147
decimal2960.csv,33997
decimal920.csv,292
decimal1299.csv,5847
decimal2948.csv,3199
decimal908.csv,159664
decimal2790.csv,11782
decimal2784.csv,8786
decimal1266.csv,43165
decimal3471.csv,6927
decimal3317.csv,9484
decimal2009.csv,20607
decimal1500.csv,228601
decimal1514.csv,84860
decimal3303.csv,33618
decimal3465.csv,6961
decimal1272.csv,9667
decimal.csv,9154
decimal2753.csv,2521
decimal713.csv,8303
decimal2035.csv,69596
decimal2021.csv,11679
decimal1528.csv,17971
decimal2747.csv,29701
decimal707.csv,14063
decimal3459.csv,9009
decimal288.csv,53684
decimal1919.csv,14507
decimal1925.csv,3535
decimal2592.csv,165264
decimal2586.csv,16227
decimal1931.csv,468
decimal1702.csv,39287
decimal3115.csv,4024
decimal1064.csv,8434
decimal1070.csv,22494
decimal539.csv,34524
decimal2579.csv,4325
decimal3101.csv,23478
decimal1716.csv,8644
decimal2237.csv,9717
decimal277.csv,31408
decimal3129.csv,20478
decimal1058.csv,990
decimal511.csv,46967
decimal2551.csv,5271
decimal505.csv,65830
decimal2545.csv,2082
decimal2223.csv,5083
decimal263.csv,214
decimal53.csv,196318
decimal47.csv,112497
decimal1879.csv,13073
decimal1851.csv,32970
decimal1689.csv,2770
decimal2380.csv,113914
decimal2394.csv,16154
decimal1845.csv,46047
decimal1676.csv,120237
decimal90.csv,20231
decimal3061.csv,21854
decimal2419.csv,14934
decimal459.csv,186253
decimal1110.csv,19130
decimal1104.csv,9471
decimal3075.csv,35403
decimal1662.csv,888
decimal84.csv,23323
decimal303.csv,82405
decimal2343.csv,8237
decimal1892.csv,35518
decimal2425.csv,11626
decimal465.csv,10039
decimal2431.csv,135915
decimal471.csv,24995
decimal1138.csv,19349
decimal1886.csv,27669
decimal3049.csv,123027
decimal317.csv,175229
decimal2357.csv,21355
decimal698.csv,4660
decimal840.csv,77933
decimal2800.csv,34280
decimal854.csv,13784
decimal2814.csv,3166
decimal2182.csv,25018
decimal3288.csv,2755
decimal2196.csv,6582
decimal868.csv,12700
decimal2828.csv,202993
decimal1312.csv,2401
decimal883.csv,8697
decimal3505.csv,150634
decimal3263.csv,39334
decimal1474.csv,60018
decimal1460.csv,4409
decimal2169.csv,6703
decimal129.csv,77122
decimal3277.csv,23574
decimal897.csv,7370
decimal3511.csv,4188
decimal1306.csv,154245
decimal3539.csv,76667
decimal667.csv,79392
decimal2627.csv,12222
decimal1448.csv,96038
decimal2141.csv,20284
decimal101.csv,26349
decimal2155.csv,4650
decimal115.csv,149035
